service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
FR,20250831,20260103,0,0,0,0,1,0,0
SA_3787,20251206,20251217,0,0,0,0,0,1,0
SU_3787,20251206,20251217,0,0,0,0,0,0,1
DPSWK,20250831,20260103,1,1,1,1,1,0,0
WK,20250831,20260103,1,1,1,1,1,0,0
SU,20250831,20260103,0,0,0,0,0,0,1
MT,20250831,20260103,1,1,1,1,0,0,0
P_Fri,20250831,20260103,0,0,0,0,1,0,0
SA,20250831,20260103,0,0,0,0,0,1,0
MT_3787,20251206,20251217,1,1,1,1,0,0,0
FR_3787,20251206,20251217,0,0,0,0,1,0,0
