route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
Longmont I-25 Express,3,FFFFFF,64A70B,RTD,LX2,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,LX2
Flatiron Flyer,3,FFFFFF,1E4286,RTD,FF5,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,FF5
Flatiron Flyer,3,FFFFFF,1E4286,RTD,FF4,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,FF4
Flatiron Flyer,3,FFFFFF,1E4286,RTD,FF3,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,FF3
Flatiron Flyer,3,FFFFFF,1E4286,RTD,FF2,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,FF2
Flatiron Flyer,3,FFFFFF,1E4286,RTD,FF1,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,FF1
Hampden/Tower,3,FFFFFF,0076CE,RTD,133,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,133
Yale / Buckley,3,FFFFFF,0076CE,RTD,130,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,130
Smoky Hill Road,3,FFFFFF,0076CE,RTD,135,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,135
Quincy Avenue,3,FFFFFF,0076CE,RTD,139,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,139
Boulder / Lafayette via Baseline,3,FFFFFF,0076CE,RTD,225T,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,225T
University Blvd,3,FFFFFF,0076CE,RTD,24,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,24
20th Avenue,3,FFFFFF,0076CE,RTD,20,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,20
Evans Avenue,3,FFFFFF,0076CE,RTD,21,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,21
Skyline Crosstown,3,FFFFFF,0076CE,RTD,323,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,323
Brighton / Denver Express,3,FFFFFF,64A70B,RTD,RX,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,RX
Pine Junction / Conifer / Denver,3,FFFFFF,64A70B,RTD,CV,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,CV
Broadway,3,FFFFFF,0076CE,RTD,0,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,0
Morrison Road,3,FFFFFF,0076CE,RTD,4,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,4
North Broadway / Huron,3,FFFFFF,0076CE,RTD,8,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Northbound & Southbound,8
Boulder / Lafayette via Baseline,3,FFFFFF,0076CE,RTD,225D,http://www.rtd-denver.com/Schedules.shtml,This Route Travels Eastbound & Westbound,225D
