service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
SU,0,0,0,0,0,0,1,20260104,20260606
DPSWK,1,1,1,1,1,0,0,20260104,20260606
FR,0,0,0,0,1,0,0,20260104,20260606
MT,1,1,1,1,0,0,0,20260104,20260606
SU_3804,0,0,0,0,0,0,1,20260208,20260208
WK,1,1,1,1,1,0,0,20260104,20260606
WK_3777,1,1,1,1,1,0,0,20260216,20260216
WK_3805,1,1,1,1,1,0,0,20260213,20260213
P_Fri,0,0,0,0,1,0,0,20260104,20260606
SA,0,0,0,0,0,1,0,20260104,20260606
WK_3802,1,1,1,1,1,0,0,20260206,20260206
